,,,,,,,,,,,,,
Mätning 1,,,Mätning 2,,,Mätning 3,,,Mätning 4 ,,,Mätning 5,
Tid (s),Kraft (N),,Tid (s),Kraft (N),,Tid (s),Kraft (N),,Tid (s),Kraft (N),,Tid (s),Kraft 
"0,000",-0.629543190611,,"0,000",0.496483667863,,0,0.423379952714,,0,-0.848854336058,,0,-0.623419319185
"0,001",-0.611554318297,,"0,001",0.502224797325,,00.02,0.417256081288,,00.02,-0.872967079798,,00.02,-0.647914804889
"0,003",-0.599306575445,,"0,003",0.496483667863,,00.04,0.423379952714,,00.04,-0.909710308355,,00.04,-0.67853416202
"0,004",-0.599306575445,,"0,004",0.496483667863,,00.06,0.42950382414,,00.06,-0.946070794947,,00.06,-0.70264690576
"0,006",-0.587058832592,,"0,006",0.502224797325,,00.08,0.435627695566,,00.08,-0.982814023504,,00.08,-0.733266262891
0.1,-0.587058832592,,0.1,0.502224797325,,0.1,0.435627695566,,0.1,-1.02529838152,,0.1,-0.794122235187
"0,008",-0.580934961166,,"0,008",0.502224797325,,00.12,0.435627695566,,00.12,-1.06778273954,,00.12,-0.818234978928
"0,010",-0.568687218314,,"0,010",0.508348668751,,00.14,0.435627695566,,00.14,-1.1045259681,,00.14,-0.854978207484
"0,011",-0.580934961166,,"0,011",0.514472540177,,00.16,0.441368825028,,00.16,-1.15313419754,,00.16,-0.879090951224
"0,013",-0.587058832592,,"0,013",0.514472540177,,00.18,0.447492696454,,00.18,-1.18949468413,,00.18,-0.915834179781
0.2,-0.580934961166,,0.2,0.508348668751,,0.2,0.441368825028,,0.2,-1.20174242699,,0.2,-0.952194666374
"0,015",-0.593182704019,,"0,015",0.508348668751,,00.22,0.435627695566,,00.22,-1.20786629841,,00.22,-0.982814023504
"0,017",-0.611554318297,,"0,017",0.508348668751,,00.24,0.417256081288,,00.24,-1.20786629841,,00.24,-1.01305063867
"0,018",-0.617678189723,,"0,018",0.502224797325,,00.26,0.417256081288,,00.26,-1.20786629841,,00.26,-1.05591773865
"0,019",-0.623419319185,,"0,019",0.502224797325,,00.28,0.42950382414,,00.28,-1.20174242699,,00.28,-1.1045259681
0.3,-0.629543190611,,0.3,0.502224797325,,0.3,0.356400108991,,0.3,-1.20786629841,,0.3,-1.15313419754
"0,022",-0.623419319185,,"0,022",0.496483667863,,00.32,0.277172522416,,00.32,-1.22011404127,,00.32,-1.19561855556
"0,024",-0.623419319185,,"0,024",0.502224797325,,00.34,0.216316550119,,00.34,-1.23848565554,,00.34,-1.22011404127
"0,025",-0.623419319185,,"0,025",0.502224797325,,00.36,0.19794493584,,00.36,-1.24422678501,,00.36,-1.24422678501
"0,026",-0.623419319185,,"0,026",0.502224797325,,00.38,0.240812035823,,00.38,-1.23236178412,,00.38,-1.27484614214
0.4,-0.611554318297,,0.4,0.496483667863,,0.4,0.289420265268,,0.4,-1.20174242699,,0.4,-1.29321775641
"0,029",-0.593182704019,,"0,029",0.502224797325,,00.42,0.32578075186,,00.42,-1.15313419754,,00.42,-1.30546549927
"0,031",-0.580934961166,,"0,031",0.508348668751,,00.44,0.350276237565,,00.44,-1.09227822525,,00.44,-1.31733050015
"0,032",-0.580934961166,,"0,032",0.508348668751,,00.46,0.350276237565,,00.46,−7278333.38.00,,00.46,-1.31120662873
"0,033",-0.587058832592,,"0,033",0.502224797325,,00.48,0.368647851843,,00.48,−11544613.04.00,,00.48,-1.28097001356
0.5,-0.580934961166,,0.5,0.502224797325,,0.5,0.392760595583,,0.5,-0.964442409226,,0.5,-1.26259839928
"0,036",-0.57481108974,,"0,036",0.502224797325,,00.52,0.411132209862,,00.52,-0.933823052095,,00.52,-1.23236178412
"0,038","−382429,407",,"0,038",0.508348668751,,00.54,0.417256081288,,00.54,-0.921958051207,,00.54,-1.19561855556
"0,039",-0.544574474574,,"0,039",0.502224797325,,00.56,0.423379952714,,00.56,-0.909710308355,,00.56,-1.15925806897
"0,040",-0.538450603148,,"0,040",0.496483667863,,00.58,0.423379952714,,00.58,-0.891338694077,,00.58,-1.13476258326
0.6,-0.532326731722,,0.6,0.496483667863,,0.6,0.423379952714,,0.6,-0.879090951224,,0.6,-1.11064983952
"0,043",-0.544574474574,,"0,043",0.502224797325,,01.02,0.42950382414,,01.02,-0.872967079798,,01.02,-1.09227822525
"0,044",-0.532326731722,,"0,044",0.502224797325,,01.04,0.42950382414,,01.04,-0.872967079798,,01.04,-1.08615435382
"0,046",-0.538450603148,,"0,046",0.508348668751,,01.06,0.435627695566,,01.06,-0.86110207891,,01.06,-1.08615435382
"0,047",-0.538450603148,,"0,047",0.508348668751,,01.08,0.435627695566,,01.08,-0.854978207484,,01.08,-1.08615435382
0.7,-0.538450603148,,0.7,0.508348668751,,0.7,0.423379952714,,0.7,-0.848854336058,,0.7,-1.09227822525
"0,050",-0.532326731722,,"0,050",0.502224797325,,01.12,0.405008338435,,01.12,-0.842730464632,,01.12,-1.11064983952
"0,051",-0.544574474574,,"0,051",0.508348668751,,01.14,0.368647851843,,01.14,-0.824358850354,,01.14,-1.11064983952
"0,053",-0.538450603148,,"0,053",0.502224797325,,01.16,0.27104865099,,01.16,-0.800246106613,,01.16,-1.1045259681
"0,054",-0.532326731722,,"0,054",0.502224797325,,01.18,28972032.01.00,,01.18,-0.781874492335,,01.18,-1.09227822525
